Event      | New (Y,X)  | Power Started   | Power Consumed  | Power Final    

Movement   | (1,0)      | 250.00          | 1.00            | 249.00         
Movement   | (2,0)      | 249.00          | 1.00            | 248.00         
Movement   | (2,1)      | 248.00          | 1.00            | 247.00         
Movement   | (2,2)      | 247.00          | 1.00            | 246.00         
Movement   | (1,2)      | 246.00          | 1.00            | 245.00         
Movement   | (0,2)      | 245.00          | 1.00            | 244.00         
Cleaning   | (0,0)      | 250.00          | 1.00            | 249.00         
Movement   | (0,1)      | 249.00          | 1.50            | 247.50         
Cleaning   | (0,1)      | 247.50          | 2.00            | 245.50         
Movement   | (0,0)      | 245.50          | 1.50            | 244.00         
Movement   | (1,0)      | 244.00          | 2.00            | 242.00         
Cleaning   | (1,0)      | 242.00          | 3.00            | 239.00         
Movement   | (1,1)      | 239.00          | 2.50            | 236.50         
Charging   | (1,1)      | 250.00          | 0.00            | 250.00         
Movement   | (0,1)      | 250.00          | 1.50            | 248.50         
Movement   | (0,0)      | 248.50          | 1.50            | 247.00         
Movement   | (1,0)      | 247.00          | 2.00            | 245.00         
Movement   | (1,1)      | 245.00          | 2.50            | 242.50         
Cleaning   | (0,0)      | 250.00          | 2.00            | 248.00         
Movement   | (2,1)      | 250.00          | 1.00            | 249.00         
Movement   | (2,0)      | 249.00          | 1.00            | 248.00         
Movement   | (1,0)      | 248.00          | 1.00            | 247.00         
Movement   | (0,0)      | 247.00          | 1.00            | 246.00         
Charging   | (0,0)      | 250.00          | 0.00            | 250.00         
Movement   | (2,3)      | 250.00          | 1.00            | 249.00         
Movement   | (2,4)      | 249.00          | 1.00            | 248.00         
Movement   | (1,4)      | 248.00          | 1.00            | 247.00         
Movement   | (0,4)      | 247.00          | 1.00            | 246.00         
Movement   | (2,1)      | 246.00          | 1.00            | 245.00         
Movement   | (2,0)      | 245.00          | 1.00            | 244.00         
Movement   | (3,0)      | 244.00          | 1.00            | 243.00         
Charging   | (3,0)      | 250.00          | 0.00            | 250.00         
Movement   | (2,3)      | 250.00          | 1.00            | 249.00         
Movement   | (2,4)      | 249.00          | 1.00            | 248.00         
Movement   | (3,4)      | 248.00          | 1.00            | 247.00         
Cleaning   | (0,0)      | 250.00          | 1.00            | 249.00         
Movement   | (0,1)      | 249.00          | 1.50            | 247.50         
Cleaning   | (0,1)      | 247.50          | 2.00            | 245.50         
Movement   | (0,0)      | 245.50          | 1.50            | 244.00         
Movement   | (1,0)      | 244.00          | 2.00            | 242.00         
Cleaning   | (1,0)      | 242.00          | 3.00            | 239.00         
Movement   | (1,1)      | 239.00          | 2.50            | 236.50         
Cleaning   | (1,1)      | 236.50          | 2.00            | 234.50         
Cleaning   | (0,1)      | 250.00          | 1.00            | 249.00         
Cleaning   | (0,2)      | 249.00          | 1.00            | 248.00         
Cleaning   | (0,3)      | 248.00          | 1.00            | 247.00         
Cleaning   | (0,4)      | 247.00          | 1.00            | 246.00         
Cleaning   | (0,5)      | 246.00          | 1.00            | 245.00         
Cleaning   | (0,6)      | 245.00          | 1.00            | 244.00         
Cleaning   | (0,7)      | 244.00          | 1.00            | 243.00         
Cleaning   | (0,8)      | 243.00          | 1.00            | 242.00         
Cleaning   | (0,9)      | 242.00          | 1.00            | 241.00         
Cleaning   | (0,10)     | 241.00          | 1.00            | 240.00         
Cleaning   | (0,11)     | 240.00          | 1.00            | 239.00         
Cleaning   | (0,12)     | 239.00          | 1.00            | 238.00         
Cleaning   | (0,13)     | 238.00          | 1.00            | 237.00         
Cleaning   | (0,14)     | 237.00          | 1.00            | 236.00         
Cleaning   | (0,15)     | 236.00          | 1.00            | 235.00         
Cleaning   | (0,16)     | 235.00          | 1.00            | 234.00         
Cleaning   | (0,17)     | 234.00          | 1.00            | 233.00         
Cleaning   | (0,18)     | 233.00          | 1.00            | 232.00         
Cleaning   | (0,19)     | 232.00          | 1.00            | 231.00         
Cleaning   | (0,20)     | 231.00          | 1.00            | 230.00         
Cleaning   | (0,21)     | 230.00          | 1.00            | 229.00         
Cleaning   | (0,22)     | 229.00          | 1.00            | 228.00         
Cleaning   | (0,23)     | 228.00          | 1.00            | 227.00         
Cleaning   | (0,24)     | 227.00          | 1.00            | 226.00         
Cleaning   | (0,25)     | 226.00          | 1.00            | 225.00         
Cleaning   | (0,26)     | 225.00          | 1.00            | 224.00         
Cleaning   | (0,27)     | 224.00          | 1.00            | 223.00         
Cleaning   | (0,28)     | 223.00          | 1.00            | 222.00         
Cleaning   | (0,29)     | 222.00          | 1.00            | 221.00         
Cleaning   | (0,30)     | 221.00          | 1.00            | 220.00         
Cleaning   | (0,31)     | 220.00          | 1.00            | 219.00         
Cleaning   | (0,32)     | 219.00          | 1.00            | 218.00         
